country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq
,,,,2.,"ZACK TIGER(IRE), 5 hř","53,0",Aurelien Lemaitre,hlava,,15,,
,,,,3.,"SARGASSES(FR), 8 kl","54,0",Maxime Guyon,3,,12,,
,,,,4.,"ARTPLACE(IRE), 4","58,5",Delphine Santiago,hlava,,3,,
,,,"2459 PRIX DE MEHERAN
Rovina - - 1500 m, handicap, 4letí a starší
24.000 EUR (12000 - 4800 - 3600 - 2400 - 1200)
Zápisné: 0 + 0 EUR",5.,"JO DE VATI(FR), 4","53,0",Antoine Coutier,krk,,14,,
,,,,1.,"MOONLIGHT GAMBLER(FR), 5 hř","57,5",Christian Hanotel,LEHCE,,10,,
,,,,2.,"BARZINI(GER), 7 val","53,0",Ronan Thomas,2 1/2,,16,,
,,,,3.,"LUMINOUS MIND(USA), 6","59,0",Alexis Badel,krk,,4,,
,,,,4.,"EARLY OUEST(FR), 4 val","53,5",Ludovic Boisseau,krk,,14,,
,,,,5.,"STORMY FLIGHT(FR), 4","60,0",Fabrice Veron,krk,,1,,
,2013,Výsledky ze dne 27.12.2013 - Deauville (Francie),"2333 PRIX DE VILLEPELEE
Rovina - - 1900 m, cena, 3letí
29.000 EUR (14500 - 5800 - 4350 - 2900 - 1450)
Zápisné: 0 + 0 EUR",10.,"IRAKLIN(IRE), 4 val","56,0",ž. Theo Bachelot,,,12,Luka Václav,
,,,,1.,"KATHINKA(GER), 3 kl","57,5",Stephane Pasquier,BOJ,,3,,
,,,,2.,"CAMARETZ(USA), 3 val","57,0",Cristian Demuro,kr.hlava,,6,,
,,,,3.,"LAQUIELLA(FR), 3 kl","54,0",Jordan Plateaux,2 1/2,,2,,
,,,,4.,"LIVING DESERT(GB), 3 val","53,0",Antoine Werle,2,,7,,
,,,,5.,"KING LOLLIPOP(FR), 3 hř","54,5",Matthias Lauron,2 1/2,,5,,
,,,"2334 PRIX DE CISAI
Rovina - - 1300 m, handicap, 3letí
20.000 EUR (10000 - 4000 - 3000 - 2000 - 1000)
Zápisné: 0 + 0 EUR",7.,"KOBI(GER), 3 kl","57,5",Theo Bachelot,,,1,Luka Václav,
,,,,1.,"MAJESTIC MOUNT(GB), 3 hř","62,0",Maxime Guyon,LEHCE,,1,,
,,,,2.,"CHEF OUI CHEF(FR), 3 hř","60,0",Jerome Cabre,2 1/2,,3,,
,,,,3.,"CONTESURMOI(FR), 3 val","51,0",Alexis Badel,1/2,,15,,
,,,,4.,"REINE MARIE(FR), 3 kl","58,0",Cristian Demuro,1 1/4,,6,,
,,,,5.,"RED FINE(IRE), 3 kl","56,0",Allan Bonnefoy,krk,,9,,
,,,"2335 PRIX DU MONT LION
Rovina - - 2400 m, cena, 4letí a starší
21.000 EUR (10500 - 4200 - 3150 - 2100 - 1050)
Zápisné: 0 + 0 EUR",13.,"IRAKLIN(IRE), 3 val","57,0",Theo Bachelot,,,8,Luka Václav,
,,,,1.,"LATERAN ACCORD(IRE), 4","56,0",Stefanie Hofer,LEHCE,,8,,
,,,,2.,"BAAN RIM PA(FR), 7","59,0",Pauline Prod`homme,2 1/2,,2,,
,,,,3.,"BISCAYA BAY(GB), 4","53,0",Amelie Foulon,1,,11,,
,,,,4.,"CHABAL`OZOR(FR), 4","59,0",Chrystelle Cardenne,kr.hlava,,4,,
,,,,5.,"KEEP COOL(GB), 6 hř","55,5",Jeanne Cotta,1,,6,,
,2012,Výsledky ze dne 29.12.2012 - Roma-Capannnelle (Itálie),"2367 Premio Xaco
Proutky - - 3400 m, , 4letí a starší
15.000 EUR (6375-2550-1275-765-510)
Zápisné: 0 + 0 EUR",9.,"DANGEROUS GLEAM(GER), 4 val","53,5",Pauline Dominois,,,9,Luka Václav,
,,,,1.,"BRANIT(ITY), 5 val","69,5",Davide Columbu,JISTĚ,,1,,
,,,,2.,"CROSS FADE(IRE), 4 val","67,5",Raffaele Romano,1/2,,3,,
,,,,3.,"CRACK CHICHI(FR), 4 val","70,0",Dominik Pastuszka,15,,2,,
,,,,4.,"TURF FINCH(GER), 4 val","66,0",Jaroslav Myška,1/2,,6,Myšková Štěpánka,
,,,,Z,"TROVAJOLI(ITY), 5","68,0",Sylvain Mastain,,,5,,
,,,"2368 Premio Guido Zibellini
Proutky - - 3400 m, , 3letí
16.500 EUR (6375-2550-1275-765-510)
Zápisné: 0 + 0 EUR",PN,"FAIRYHALL(GB), 4 val","66,0",Josef Bartoš,,,4,,
,,,,1.,"SERICA(IRE), 3 val","70,5",Raffaele Romano,TUHÝ BOJ,,6,,
,,,,2.,"WISTON(GB), 3 hř","66,0",Josef Bartoš,kr.hlava,,8,,
,,,,3.,"GREENHAL(ITY), 3 hř","66,0",Sylvain Mastain,hlava,,3,,
,,,,4.,"PATTO D`ACCIAIO(ITY), 3 val","66,0",Dominik Pastuszka,daleko,,5,,
,,,,5.,"SOPRAN LESTO(ITY), 3","66,0",Davide Columbu,1,,7,,
,2011,Výsledky ze dne 06.12.2011 - Roma-Capannnelle (Itálie),"2294 Premio Sordello-Mem. Antonio E Felice Ceciarelli
Proutky - - 3400 m, cena, 4letí a starší
22.000 EUR (9350 - 3740 - 1870 - 1122 - 748)
Zápisné: 0 + 0 EUR",6.,"ELMAL(FR), 3 val","66,0",Josef Váňa ml.,10,,1,Váňa st. Josef,
,,,,1.,"ERODOTO(GB), 5 val","67,0",Raffaele Romano,LEHCE,,3,,
,,,,2.,"CANAYLI(IRE), 4 val","65,0",ž. Dirk Fuhrmann,4 1/2,,2,,
,,,,3.,"HEEDAS(GB), 5 val","67,0",ž. Josef Váňa ml.,3 1/2,,6,,
,,,,4.,"GUESS WHO(ITY), 4 val","65,0",H. Grzywna,12,,5,,
,2010,Výsledky ze dne 28.11.2010 - Roma-Capannnelle (Itálie),"2271 Premio Spegasso
Steeplechase - - 3450 m, cena, 4letí a starší
20000 EUR (8500 - 3400 - 1700 - 1020 - 680)
Zápisné: 0 + 0 EUR",5.,"LIPI(GB), 5 val","67,0",ž. Josef Bartoš,3 1/2,,7,Luka Václav,
,,,,1.,"GERBETT(IRE), 5 hř","68,0",Raffaele Romano,LEHCE,,6,,
,,,,2.,"CROALDIGNO(ITY), 4 val","66,0",Ch. Monjon,3 1/2,,3,,
,,,,3.,"EFFETTO SPECIALE(IRE), 34 val","64,0",ž. Josef Bartoš,12,,4,,
,,,,4.,"RACCONIGI(IRE), 4 hř","64,0",ž. Jan Faltejsek,3,,10,,
,,,,5.,"KARAGEM SUMMIT(ITY), 4 hř","64,0",ž. Dirk Fuhrmann,daleko,,7,,
,2009,Výsledky ze dne 29.12.2009 - Roma-Capannnelle (Itálie),"2254 Premio Sandusky
Proutky - - 3200 m, handicap, 4letí
22000 EUR (8500 - 3400 - 1700 - 1020 - 680)
Zápisné: 0 + 0 EUR",6.,"CRAZY FOR LIFE, 4 kl","64,0",am. Pavel Peprna,2,,2,Seménka Zdeněk,
,,,,1.,"GERBETT(IRE), 4 hř","72,0",Raffaele Romano,LEHCE,,1,,
,,,,2.,"LIZARD KING(ITY), 4 val","67,5",am. Emmanuel Reinhardt,5,,5,,
,,,,3.,"VEDDASCA(IRE), 4 kl","67,5",Davide Columbu,10,,2,,
,,,,4.,"CANEY(IRE), 4 val","67,5",Stephan Karnicnik,5,,4,Váňa st. Josef,
,2008,Výsledky ze dne 20.12.2008 - Roma-Capannnelle (Itálie),"2227 Premio Xaco
Proutky - - 3400 m, cena, 5letí a starší
18000 EUR (7650 - 3060 - 1530 - 918 - 612)
Zápisné: 0 + 0 EUR",5.,"FURNASATT(GB), 4 hř","66,0",Dominik Pastuszka,7,,3,,
,,,,1.,"BRUCIAPELO(ITY), 5 hř","66,5",A. Renzi,LEHCE,,2,,
,,,,2.,"MR ROMEO(IRE), 7 val","65,0",ž. Dirk Fuhrmann,3,,4,,
,,,,3.,"ALTROVE(IRE), 5 val","65,0",ž. Jan Faltejsek,daleko,,1,Favero Paolo,
,,,,4.,"MAJOR GENERAL(GER), 5 val","65,0",ž. Josef Bartoš,1,,3,Váňa st. Josef,
,,,"2228 Premio Or Jack
Proutky - - 3400 m, cena, 4letí
19800 EUR (7650 - 3060 - 1530 - 918 - 612)
Zápisné: 0 + 0 EUR",5.,"TORONGA(GER), 5 kl","65,0",žk. Josef Váňa ml.,daleko,,6,Váňa st. Josef,
,,,,1.,"GALANDAS(ITY), 4 hř","66,5",ž. Dirk Fuhrmann,LEHCE,,6,,
,,,,2.,"RED DOCTOR(ITY), 4 val","65,0",ž. Jan Faltejsek,3,,11,,
,,,,3.,"ARROW CROSS(IRE), 4","65,0",Stephan Karnicnik,3,,3,,
,,,,4.,"ALGOL(SLO), 4 val","66,5",ž. Jiří Kousek,6,,1,Sokol Samuel,
,,,,5.,"ALPHA PRIM(POL), 4 hř","65,0",žk. Josef Váňa ml.,10,,2,,
,2007,Výsledky ze dne 18.12.2007 - Roma-Capannnelle (Itálie),"2310 Premio Xaco
Proutky - - 3400 m, cena, 5letí a starší
20000 EUR (8500 - 3400 - 1700 - 1020 - 680)
Zápisné: 0 + 0 EUR",9.,"NEARLY PERFECT(GER), 4 val","65,0",ž. Josef Bartoš,,,10,Váňa st. Josef,
,,,,1.,"MASTMAN(IRE), 5","65,0",ž. Josef Bartoš,JISTĚ,,2,Váňa st. Josef,
,,,,2.,"MR ROMEO(IRE), 6","67,5",Raffaele Romano,1/2,,3,,
,,,,3.,"OMANIE(GER), 5","67,5",ž. Dirk Fuhrmann,2 1/2,,6,,
,,,,4.,"HENUTTI(ITY), 5","65,0",F. Sparapano,8,,1,,
,,,"2311 Premio Ardale
Steeplechase - - 3450 m, cena, 4letí a starší
14000 EUR (5950 - 2380 - 1190 - 714 - 476)
Zápisné: 0 + 0 EUR",5.,"OEIL DE SIVOLA(FR), 5","65,0",Thomas Boyer,3,,4,,
,,,,1.,"SCHUMY DANCER(GER), 5","67,0",A. Renzi,JISTĚ,,4,,
,,,,2.,"RIB PILE(FR), 10","66,0",ž. Jan Faltejsek,1/2,,3,,
,,,,3.,"VEGAS(POL), 4","65,0",Paul Andrew Johnson,15,,6,,
,,,,4.,"SFIZIOSO MIX(ITY), 4","69,0",Raffaele Romano,15,,5,,
,,,"2312 Premio Fresas
Proutky - - 3200 m, cena, 3letí
22000 EUR (8500 - 3400 - 1700 - 1020 - 680)
Zápisné: 0 + 0 EUR",5.,"DRIVER(GER), 6","66,0",Stephan Karnicnik,12,,2,Vinklárek Vladimír,
,,,,1.,"SATURNINO(SLO), 3","64,5",Jiří Kousek,LEHCE,,10,Lopez Jean Pierre,
,,,,2.,"BIG SUGAR(IRE), 3","65,0",ž. Jan Faltejsek,6,,1,,
,,,,3.,"RADAMANTO(IRE), 3","64,0",ž. Dirk Fuhrmann,4,,7,,
,,,,4.,"BRAVO POLA(IRE), 3","64,0",Ervan Chazelle,1 1/2,,3,,
,,,,5.,"SARABANDA HEAT(GB), 3","65,5",Raffaele Romano,4,,9,,
,2006,Výsledky ze dne 26.11.2006 - Bremen (Německo),"2222 Vahrao-Trophy
Rovina - - 2100 m, cena, 4letí a starší
2000 EUR (1150 - 450 - 250 - 150 - 0)
Zápisné: 0 + 0 EUR",10.,"LADY CELTIC(IRE), 3","64,0",ž. Josef Bartoš,,,5,Váňa st. Josef,
,,,,1.,"LIPARDA(GER), 4","63,5",R. Mackowiak,JISTĚ,,8,,
,,,,2.,"VAN VÜRDEN(GER), 5","68,0",am. Pavel Bradík,3/4,,11,,
,,,,3.,"FLASH DANCER(GER), 7","67,0",Václav Pančocha,1/2,,1,,
,,,,4.,"LASHADD, 4","65,0",Milan Zatloukal,3/4,,2,Neuberg Filip,
,,,"2223 Bremer Hindernis Finale 2006
Steeplechase - - 3600 m, cena, 4letí a starší
5200 EUR (2600 - 1100 - 750 - 500 - 250)
Zápisné: 0 + 0 EUR",5.,"DURANI(GER), 5","62,0",am. Erika Bránecká,3/4,,12,,
,,,,1.,"MANIAC(GER), 8","65,0",Jeremy Recher,ZADRŽENĚ,,10,,
,,,,2.,"DANSEUR ECOSSAIS(FR), 7","60,5",Fabian Xaver Weissmeier,12,,9,,
,,,,3.,"GEISHA DREAM(GER), 5","66,0",Jan Korpas,1,,5,,
,,,,4.,"BRICKWEDDER(GER), 7","63,0",žk. Vilém Hlaváček,1 1/2,,12,,
,,,,5.,"FUNNY GIRL(GER), 7","64,5",R. Mackowiak,,,7,,
,,,,9.,"LANABAA(FR), 5","70,5",ž. Dušan Andrés,,,1,Koplík Zdeno,
,,,"2224 Haake Sprint-Cup
Rovina L - 1300 m, cena, 3letí a starší
20000 EUR (12000 - 4400 - 2400 - 1200 - 0)
Zápisné: 0 + 0 EUR",PN,"VODORYS, 4","67,5",ž. Tomáš Hurt,,,6,Neuberg Filip,
,,,,1.,"SIGNUM(GER), 3","57,0",ž. Jiří Palík,BOJ,,9,,
,,,,2.,"SOAVE(GER), 7","59,0",Adrianus De Vries,hlava,,2,,
,,,,3.,"DIABLE(GB), 7","58,0",ž. Filip Minařík,1/2,,3,,
,,,,4.,"SLADE(GER), 4","56,0",Marvin Suerland,krk,,10,,
,,,,5.,"NARSUS(GER), 4","57,0",ž. Jozef Bojko,3 1/2,,7,,
,2005,Výsledky ze dne 10.12.2005 - Dortmund (Německo),"2218 Wambeler Adventspreis
Rovina - - 2500 m, cena, 3letí a starší
3400 EUR (2000 - 800 - 400 - 200 - 0)
Zápisné: 0 + 0 EUR",7.,"POLISH MAGIC(GB), 6","59,0",ž. René Koplík,,,1,Koplík Zdeno,
,,,,1.,"WILDBACH(IRE), 3","58,0",André Best,V. LEHCE,,4,,0
,,,,2.,"VILLA VITA(GER), 4","58,0",ž. Jozef Bojko,5,,3,,0
,,,,3.,"COUNTRY FIRE(GER), 3","55,0",ž. Filip Minařík,4 1/2,,10,,0
,,,,4.,"NOPPER(GER), 3","56,0",ž. Jiří Palík,2 1/2,,9,Bach Nina,0
,,,,5.,"NOKIA(GER), 5","57,0",Norman Richter,12,,5,,0
,2004,Výsledky ze dne 28.11.2004 - Neuss (Německo),"1. dostih, start 14:03
2170 Preis vom Obertor (hdcp)
Rovina - - 1500 m, handicap, 3letí a starší
3500 EUR (2000 - 840 - 430 - 230 - 0)
Zápisné: 0 + 0 EUR",9.,"ANNAPURNA(GER), 3","54,0",V. Schulepov,,,12,Minařík 2 Ferdinand,0
,,,,1.,"CARLITOS(GER), 10","61,0",A. Schlotthauer,TUHÝ BOJ,,1,,0
,,,,1.,"OUR WARNING(GB), 6","59,0",ž. Jozef Bojko,současně,,5,,0
,,,,3.,"SAN ROCCO(GB), 8","57,5",André Best,2 1/2,,8,,0
,,,,4.,"SANDRO LANDZICHT(HOL), 6","54,0",ž. Filip Minařík,3/4,,9,,0
,,,"5. dostih, start 16:02
2171 Preis vom 1.Advent
Rovina - 1900 m, cena, 3letí a starší
3500 EUR (2000 - 840 - 430 - 230 - 0)
Zápisné: 0 + 0 EUR",5.,"FALZAKAPA, 6","58,0",ž. Iva Miličková,2,,7,Luka st. Václav,0
,,,,1.,"BLUEBERRY FOREST(IRE), 6","58,0",ž. Filip Minařík,V. LEHCE,,3,,0
,,,,2.,"ORFISIO(GB), 5","58,0",Ian Ferguson,8,,7,,0
,,,,3.,"LEVANTINO(GER), 4","58,0",André Best,daleko,,6,,0
,,,,4.,"SAN SURU(GER), 10","58,0",P. Heugl,3/4,,8,,0
,,,,5.,"SABBAAG(USA), 3","56,5",Adrianus De Vries,krk,,10,,0
,2003,Výsledky ze dne 26.10.2003 - Budapešť (Maďarsko),"1. dostih, start 11:30
2129 NYERETLEN KÉTÉVESEK VERSENYE(E.B.F)
Rovina - - 1400 m, cena, 2letí
310000 Ft (155000 - 62000 - 46500 - 31000 - 15500)
Zápisné: 0 + 0 Ft",10.,"LANNY BUDD(IRE), 7","58,0",ž. Iva Miličková,,,5,Blecha Jan,0
,,,,1.,"CARAVAGGIO(AUT), 2","58,0",Roman Mališka,,,1,Břečka Josef,0
,,,,2.,"SHAKIRA MIA(GER), 2","56,5",I. Kozma,,,12,Farkas Tibor,0
,,,,3.,"MARIAN(POL), 2","58,0",ž. Paul Eddery,,,4,Kalaš Pavel,0
,,,,4.,"PRÉDIKÁTOR(HUN), 2","58,0",ž. Ferenc Simon,,,7,Mizsei J.,0
,,,,5.,"MY AQUA(HUN), 2","58,0",ž. Tomasz Dul,,,5,Tugušev Ramazan,0
,,,"2. dostih, start 12:30
2130 CENTRAL EUROPEAN BREEDERS' CUP MILE
Rovina Gd-1 - 1600 m, cena, 3letí a starší - klisny a hřebci
18000 EUR (9000 - 3600 - 2700 - 1800 - 900)
Zápisné: 0 + 0 EUR",8.,"SOLITER(GER), 2","58,0",ž. Jan Rája,,,8,Fedorowicz Vladislav,0
,,,,1.,"TRIBAL INSTINCT(IRE), 5","59,5",ž. Jaroslav Línek,,,6,Holčák František,0
,,,,2.,"KIFAAB, 3","57,0",ž. Radek Koplík,,,8,Wolf Martin,0
,,,,3.,"MORNING SUN(AUT), 5","58,0",Paul Roberts,,,7,Geisler Gerald,0
,,,,4.,"DANDOLO(POL), 5","59,5",ž. Tomasz Dul,,,1,Janikowski Maciej,0
,,,"3. dostih, start 13:30
2131 CENTRAL EUROPEAN BREEDERS' CUP SPRINT
Rovina Gd-1 - 1200 m, cena, 3letí a starší - klisny a hřebci
18000 EUR (9000 - 3600 - 2700 - 1800 - 900)
Zápisné: 0 + 0 EUR",5.,"LIDOHILL(GB), 5","59,5",ž. Zoltán Varga,,,2,Friebert Attila,0
,,,,1.,"PHANTOM TURTLE(IRE), 4","57,0",ž. Darren Moffatt,,,8,Strelar Loredana,0
,,,,2.,"TIM(POL), 4","58,5",ž. Tomasz Dul,,,4,Ziemianski Krzysztof,0
,,,,3.,"GOTYK(POL), 6","58,5",ž. Jan Rája,,,2,Luka st. Václav,0
,,,,4.,"TÜZCSÓVA(GB), 3","55,5",Mónika Szalai,,,12,Friebert Attila,0
,,,"4. dostih, start
2132 CENTRAL EUROPEAN BREEDERS' CUP CLASSIC
Rovina Gd-1 - 2400 m, cena, 3letí a starší
18000 EUR (9000 - 3600 - 2700 - 1800 - 900)
Zápisné: 0 + 0 EUR",5.,"MERRY DANCE(GB), 5","57,0",ž. Radek Koplík,,,6,Fedorowicz Vladislav,0
,,,,1.,"ZAGON(POL), 5","59,5",Jaroslav Línek,,,2,Holčák František,0
,,,,2.,"PODEROSO(GER), 4","59,5",Jan Rája,,,1,Váňová Pavla,0
,,,,3.,"ALUNA(HUN), 4","58,0",ž. Sándor Kovács,,,3,Székely Károly,0
,2002,Výsledky ze dne 20.11.2002 - Milano (Itálie),"2065 PREMIO DEL PRATO
Proutky - 4000 m, ,
72000 EU ( - - - - )
Zápisné: 0 + 0 EUR",4.,"TANTRA(POL), 4","58,0",Paul Eddery,,,6,Kalaš Pavel,0
,2001,Výsledky ze dne 14.12.2001 - Cheltenham (Velká Británie),"2062 SPORTING INDEX SELECT HANDICAP CHASE
Steeplechase - 6200 m, cena,
21700 GBP ( - - - - )
Zápisné: 0 + 0 Lst",PN,"POINTED SOCKS(GER), 5","66,5",Jiří Kameníček,,,5,Baštová Pavlína,
,,,,3.,"SANKT MORITZ(GER), 7","69,0",Michal Köhl,,,7,Váňa st. Josef,
,2000,Výsledky ze dne 22.11.2000 - Dresden (Německo),"2060 PREIS DER FIRMEN HAUSDORF UND REIMER
Rovina - 2000 m, cena,
5600 DM ( - - - - )
Zápisné: 0 + 0 DM",4.,"DECENT FELLOW(GER), 6","67,0",H. Ephgrave,,,9,Váňa st. Josef,
,,,,5.,"NIKI, 3","56,5",Ilona Třešňáková,,,1,Ščevlík Marian,
,1999,Výsledky ze dne 17.11.1999 - Dresden (Německo),"2070 DRESDENER WINTERPREIS
Rovina - 2000 m, ,
5400 DM ( - - - - )
Zápisné: 0 + 0 DM",11.,"SURE FIRE(GB), 3","54,5",Jaroslav Kovařík,,,9,Baštová Pavlína,
,1998,Výsledky ze dne 18.11.1998 - Dresden (Německo),"2058 Jahresfinale 1998 in Dresden
Rovina - 2100 m, cena, 3letí a starší
5100 DM ( - - - - )
Zápisné: 0 + 0 DM",3.,"SHAPELY HEART, 3","56,5",René Koplík,,,6,Koplík Zdeno,
,,,,5.,"NIKETA, 4","56,0",ž. Lukáš Kasal,,,6,,0
,,,"2059 Dresdener Winterpreis
Rovina - 1550 m, cena, 3letí
8500 DM ( - - - - )
Zápisné: 0 + 0 DM",7.,"AURUM, 3","54,0",ž. Martin Knauer,,,9,,0
,,,,4.,"LAZAIRE(GER), 3","55,0",Lukáš Kasal,,,11,,0
,1997,Výsledky ze dne 23.11.1997 - Frankfurt (Německo),"2059 PREIS DES FRANKFURTER GALOPPER
Rovina - 2300 m, , 3letí a starší
6100 DM ( - - - - )
Zápisné: 0 + 0 DM",7.,"ANA ALINA (GER), 3","55,5",Peter Huťťa,,,8,,0
,,,"2060 DON MENNI-RENNEN
Rovina - 1300 m, , 3letí a starší
7300 DM ( - - - - )
Zápisné: 0 + 0 DM",9.,"LANDLADY(GER), 3","51,5",ž. Blanka Šarinová,,,10,,0
,,,,6.,"WALISTRA(GER), 4","50,5",ž. Blanka Šarinová,,,12,,0